GEOID,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_APENR,ED_ATTAIN,ED_COLLEGE,ED_ECENROL,ED_HSGRAD,ED_MATH,ED_READING,ED_SCHPOV,ED_TEACHXP,ED_PRXECE,ED_PRXHQECE,HE_FOOD,HE_GREEN,HE_HEAT,HE_HLTHINS,HE_OZONE,HE_PM25,HE_VACANCY,HE_WALK,HE_SUPRFND,HE_RSEI,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_EMPRAT,SE_JOBPROX,SE_SINGLE
36001001400,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,31,0.38364825,61.360966,62.773914,,69.386719,199.8287,181.63092,89.038353,14.295472,4.1737823,1.0986123,14.163572,44.799999,3.3333333,76.821938,37.702827,8.0666571,24.865639,16.088816,-13.815511,6.9177213,14.887168,6.4854555,19.742489,52.507095,36979.0,80.334511,1.6458852,0.0
36001001400,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,168,0.45486915,61.647629,59.371132,,68.861084,99.819305,73.012352,60.098335,9.6915398,3.9053717,1.3534577,0.47242865,44.799999,1.6666666,85.697876,35.593933,8.7040434,6.1068702,16.088816,-13.815511,5.9641747,17.049265,12.089077,7.9533405,59.564327,43920.0,92.641083,3.5762944,87.313431
36001001500,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,374,0.40320721,52.400661,63.964947,,67.130531,225.55058,210.8578,69.84874,12.769273,4.1834335,1.0986123,19.188761,53.200001,3.3333333,83.092484,37.642532,8.0602961,19.395866,14.554508,-13.815511,6.7079873,37.161407,9.8541985,12.669684,49.773941,32402.0,77.671539,3.8003664,53.597122
36001001500,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,480,0.46785894,53.306614,61.209862,0.0,66.592049,146.09433,115.61845,40.807518,5.541666,3.8918202,1.0986123,23.578657,53.200001,1.6666666,92.742714,35.581829,8.698391,15.306886,14.554508,-13.815511,5.8494592,29.484356,19.443216,11.400796,49.682201,32231.0,87.652275,0.8947745,48.947369
36001001600,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,563,0.40798819,50.475758,64.572968,50.0,66.403496,225.30508,214.12953,56.128681,10.531415,4.2418232,1.0986123,7.1553831,48.299999,3.3333333,94.33094,37.606689,8.0498781,15.364851,14.603469,-13.815511,6.6409507,30.622271,11.990111,42.521633,41.662708,47001.0,81.106613,1.4858841,54.092525
36001001600,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,552,0.47170919,57.08255,62.174931,30.700001,66.018951,145.38603,119.66599,38.752087,4.5875802,3.9444473,1.0986123,4.1193371,48.299999,1.6666666,92.92852,35.557621,8.7017927,11.627908,14.603469,-13.815511,5.8357134,29.631514,8.8815784,37.554825,47.826088,48333.0,88.836586,1.8935978,27.014217
36001001700,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,632,0.41194379,59.711285,65.283737,100.0,65.530167,206.73227,207.416,52.189415,10.50742,4.2400112,1.0986123,5.0818019,38.0,3.3333333,93.200409,37.558304,8.044342,10.633157,14.452153,-0.71667767,6.5798912,11.177691,7.6798267,40.995132,39.892281,69216.0,79.086533,2.7437894,14.435695
36001001700,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,608,0.47915652,52.236885,63.467564,60.599998,65.858925,138.78859,151.27597,44.160439,5.8344626,3.9323466,1.0986123,5.4819784,38.0,1.6666666,95.686691,35.542156,8.7086515,7.7179613,14.452153,-13.815511,5.8464365,12.477064,10.531751,47.083118,42.282845,62978.0,86.66301,3.8867924,22.818792
36001001801,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,901,0.40726522,51.640213,62.736149,31.799999,66.431633,207.40556,217.42485,48.880844,6.0704479,4.2391496,1.0986123,7.2920918,17.6,3.3333333,96.288048,37.607521,7.9694128,3.407155,13.081029,-1.0723813,6.5866613,8.5017319,7.5543799,71.134628,57.116447,75462.0,87.972382,0.69252074,30.490017
36001001801,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1150,0.48461628,51.349854,60.484131,100.0,66.36058,136.01776,171.08923,41.74884,3.7393808,3.9678442,1.0986123,9.7300253,17.6,1.6666666,96.793167,35.555527,8.6648741,3.0510406,13.081029,-13.815511,5.8714299,4.8766494,3.7058823,70.852943,55.669548,71106.0,93.052208,1.6340822,19.622643
